Product_ID,Rating,Valid_Sales,Corrupted_Sales,Total_Sales,Valid_Orders,Corrupted_Orders,Total_Orders_Count,Valid_Orders_Quantity,Corrupted_Orders_Quantity,Total_Orders_Quantity,Product_Name,Category,Brand,Original_Price,Discount_Percent,Discount_Amount,Selling_Price,Stock_Quantity,Weight_kg,Avg_Rating,Total_Reviews
PROD000001,4.0,25312365.529999997,3407892.6,28720258.13,199,26,225,255,34,289,Samsung Mobile V5,Electronics,Samsung,130561.34,23,30029.11,100532.23,159,2.63,4.49,102
PROD000002,5.0,6451513.45,720190.8300000001,7171704.28,211,25,236,271,30,301,HP Laptop V5,Electronics,HP,36494.92,34,12408.27,24086.65,54,4.19,4.32,107
PROD000003,4.0,14649829.4,797491.03,15447320.43,197,13,210,240,13,253,boAt Headphones V2,Electronics,boAt,106587.94,42,44766.93,61821.01,638,1.48,4.31,99
PROD000004,4.0,12861410.73,1369563.3,14230974.030000001,239,28,267,301,32,333,Noise Watch V7,Electronics,Noise,81275.27,47,38199.38,43075.89,572,3.3,4.42,127
PROD000005,3.0,1689744.04,149282.80000000002,1839026.84,176,14,190,230,20,250,Apple iPhone V4,Electronics,Apple,13099.36,43,5632.72,7466.64,865,3.71,4.37,98
PROD000006,5.0,546850.5599999999,84206.53,631057.09,149,25,174,182,28,210,Levis Jeans V1,Fashion,Levis,3330.44,9,299.74,3030.7,380,2.64,4.47,81
PROD000007,4.0,1178784.8,104243.2,1283028.0,141,15,156,180,16,196,Peter England Shirt V8,Fashion,Peter,7504.54,12,900.54,6604.0,800,2.12,4.37,82
PROD000008,4.0,1023381.51,132976.86,1156358.37,181,22,203,231,30,261,Nike Shoes V2,Fashion,Nike,7210.81,38,2740.11,4470.7,321,1.71,4.29,104
PROD000009,4.0,818686.67,102208.09,920894.76,160,21,181,187,23,210,Titan Watch V10,Fashion,Titan,8545.82,48,4101.99,4443.83,266,0.82,4.52,94
PROD000010,4.0,1595953.13,184814.72,1780767.8499999999,156,20,176,198,23,221,Puma T-shirt V7,Fashion,Puma,12528.96,35,4385.14,8143.82,834,3.12,4.37,89
PROD000011,4.0,819335.46,89311.11,908646.57,87,11,98,110,12,122,IKEA Chair V1,Home,IKEA,13189.01,43,5671.27,7517.74,42,2.34,4.4,43
PROD000012,4.0,88864.94,9301.3,98166.24,107,13,120,133,14,147,Prestige Cooker V1,Home,Prestige,996.52,32,318.89,677.63,163,3.68,4.43,56
PROD000013,4.0,2776917.92,422093.36,3199011.28,125,18,143,157,24,181,Philips Mixer V4,Home,Philips,29812.39,40,11924.96,17887.43,177,4.68,4.31,61
PROD000014,5.0,1169907.65,170399.38,1340307.0299999998,111,13,124,131,19,150,Godrej Almirah V7,Home,Godrej,14780.06,39,5764.22,9015.84,622,3.93,4.37,62
PROD000015,4.0,3268879.1,329240.34,3598119.44,113,13,126,140,14,154,Urban Ladder Sofa V3,Home,Urban,43563.53,46,20039.22,23524.31,504,2.97,4.4,63
PROD000016,5.0,197936.15999999997,16696.289999999997,214632.44999999998,62,7,69,84,7,91,Lakme Lipstick V4,Beauty,Lakme,3116.2,23,716.73,2399.47,417,0.97,4.53,32
PROD000017,3.0,214036.66,17747.65,231784.31,49,5,54,61,5,66,Mamaearth Facewash V10,Beauty,Mamaearth,4175.92,15,626.39,3549.53,308,1.69,4.37,27
PROD000018,5.0,158180.82,15405.08,173585.9,63,8,71,82,8,90,Nivea Cream V5,Beauty,Nivea,2052.64,5,102.63,1950.01,931,1.77,4.31,32
PROD000019,5.0,42462.68,5246.460000000001,47709.14,59,7,66,74,9,83,Dove Soap V5,Beauty,Dove,910.85,36,327.91,582.94,399,1.65,4.5,34
PROD000020,4.0,110946.06,16094.220000000001,127040.28,40,5,45,49,7,56,Plum Serum V5,Beauty,Plum,2754.12,16,440.66,2313.46,301,4.7,4.28,18
PROD000021,4.0,2137548.12,286993.83,2424541.95,99,11,110,128,17,145,Nike T-shirt V3,Sports,Nike,26796.81,37,9914.82,16881.99,961,2.94,4.51,55
PROD000022,4.0,566821.83,68546.97,635368.7999999999,93,10,103,109,13,122,Puma Shoes V5,Sports,Puma,9771.64,46,4494.95,5276.69,660,3.03,4.59,44
